sys_RespNum,d,MXD_1_b,MXD_1_w,MXD_2_b,MXD_2_w,MXD_3_b,MXD_3_w,MXD_4_b,MXD_4_w,MXD_5_b,MXD_5_w,MXD_6_b,MXD_6_w,MXD_7_b,MXD_7_w,MXD_8_b,MXD_8_w,MXD_9_b,MXD_9_w,MXD_10_b,MXD_10_w,MXD_11_b,MXD_11_w,MXD_12_b,MXD_12_w,MXD_13_b,MXD_13_w,MXD_14_b,MXD_14_w,MXD_15_b,MXD_15_w,MXD_16_b,MXD_16_w,MXD_17_b,MXD_17_w,MXD_18_b,MXD_18_w,sys_MXDDesignID_MXD,nKOP1,nKOP2,nKOP3,nKOP4,nKOP5,nKOP6,nKOP7,nKOP8,nKOP9,nKOP10,nKOP11,nKOP12,nKOP13,weegvar
938,411112351,6,33,1,27,12,36,13,31,7,29,3,28,13,20,11,24,16,35,3,31,12,39,16,26,7,34,10,36,8,35,19,30,13,27,12,26,MXD1_1753104514_5,1,5,1,5,2,3,4,3,5,2,2,2,2,.88246624313761
1837,411112360,22,17,21,28,15,19,13,29,16,24,9,26,3,11,2,7,22,25,16,29,15,26,22,33,39,11,6,30,16,24,13,25,2,14,9,27,MXD1_1753104514_5,1,5,1,5,1,3,6,3,3,2,1,2,1,.686049367051532
1255,411112364,40,23,17,39,25,13,15,34,1,18,14,19,16,26,5,30,15,13,11,32,17,20,34,18,5,39,4,35,11,38,16,12,17,19,7,26,MXD1_1753104514_5,2,5,3,2,1,3,2,2,5,2,2,1,2,1.13321125009949
1050,411112376,6,27,15,25,8,24,2,26,16,13,1,31,3,18,4,29,17,19,2,15,7,26,22,37,1,38,5,12,8,31,3,13,6,19,1,30,MXD1_1753104514_5,1,5,2,3,4,3,5,3,4,2,1,1,2,.686049367051532
448,411112385,5,26,3,12,2,14,13,28,40,27,6,26,9,34,2,17,7,23,13,27,22,11,9,28,1,18,6,32,22,17,10,24,16,29,18,38,MXD1_1753104514_5,1,5,2,5,5,3,1,3,9,1,2,1,2,.88246624313761
632,411112386,9,24,37,28,10,26,40,30,21,27,6,36,17,33,23,39,3,31,8,11,24,18,19,30,10,34,7,26,3,33,8,28,17,29,6,13,MXD1_1753104514_5,2,5,2,5,5,1,6,2,5,2,2,1,1,.757315478001565
1564,411112395,40,23,17,18,10,29,2,13,22,26,6,19,5,27,21,18,3,28,1,29,5,20,8,32,6,16,21,27,7,24,4,30,17,31,8,12,MXD1_1753104514_5,2,5,2,1,1,3,6,3,7,2,1,1,2,.757315478001565
1668,411112403,4,32,3,28,5,29,2,23,4,34,7,19,1,36,9,33,6,40,25,35,10,19,4,30,7,28,22,29,24,35,2,34,21,30,10,37,MXD1_1753104514_5,2,5,2,2,8,1,5,3,3,2,2,1,2,.757315478001565
1083,411112411,24,7,25,19,2,5,16,30,15,28,6,18,3,40,13,26,2,39,16,21,33,31,3,19,16,4,22,35,13,18,10,27,1,36,22,26,MXD1_1753104514_5,1,5,3,2,6,1,,3,4,2,1,1,2,1.32048096679005
1079,411112415,13,26,12,24,10,27,2,28,17,31,1,26,10,24,7,20,13,28,6,35,8,31,5,18,12,25,3,27,17,29,19,34,2,27,7,11,MXD1_1753104514_5,1,5,1,4,3,3,4,4,10,2,1,1,2,1.13259039335603
