metric,last,mean_tail,sd_tail,slope_tail,n_iters
loglik,-101848.282127,-101967.027166,66.069568,2.264655,200
rlh,0.224874,0.224484,0.000217,0.000007,200
pct_cert,0.003774,0.002613,0.000646,0.000022,200
accept_rate,0.345501,0.329635,0.012161,0.000160,200
param_rms,0.057518,0.049614,0.004928,0.000170,200
avg_var,0.003274,0.002470,0.000478,0.000016,200
